"taxon"	"Número de pétalas "	"Inserção das folhas"	"Cores principais da flor/inflorescência"	"Espinescência"	"Porte"	"Consistência do fruto"	"Simetria do perianto"
"Tordylium apulum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Tordylium maximum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Torilis arvensis subsp. purpurea"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Torilis arvensis subsp. recta"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Torilis arvensis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Torilis arvensis subsp. neglecta"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Torilis elongata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Torilis japonica"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Torilis leptophylla"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Torilis nodosa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Turgenia latifolia"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Nerium oleander"	"Flores com 5 pétalas"	"Folhas opostas,Folhas verticiladas"	"Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Vinca major subsp. major"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ilex aquifolium"	"Flores com 4 pétalas"	"Folhas alternas"	"Flores brancas"	"Folhas com margem ou ponta espinhosa"	"Árvore"	"Fruto carnudo"	"Simetria radial"
"Arisarum simorrhinum"	"Flores sem perianto"	"Folhas todas basais"	"Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto carnudo"	"NA"
"Arum cylindraceum"	"Flores sem perianto"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto carnudo"	"NA"
"Arum italicum subsp. italicum"	"Flores sem perianto"	"Folhas todas basais"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto carnudo"	"NA"
"Biarum arundanum"	"Flores sem perianto"	"Folhas todas basais"	"Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto carnudo"	"NA"
"Biarum mendax"	"Flores sem perianto"	"Folhas todas basais"	"Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto carnudo"	"NA"
"Hedera hibernica"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Arbusto ou subarbusto,Árvore"	"Fruto carnudo"	"Simetria radial"
"Hedera maderensis subsp. iberica"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Arbusto ou subarbusto,Árvore"	"Fruto carnudo"	"Simetria radial"
"Chamaerops humilis"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Caules com acúleos"	"Arbusto ou subarbusto"	"Fruto carnudo"	"Simetria radial"
"Aristolochia baetica"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Aristolochia paucinervis"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Aristolochia pistolochia"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Cynanchum acutum subsp. acutum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Vincetoxicum hirundinaria"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Vincetoxicum nigrum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Dryopteris affinis subsp. affinis"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Dryopteris affinis subsp. borreri"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Dryopteris affinis"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Dryopteris dilatata"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Dryopteris expansa"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Dryopteris filix-mas"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Dryopteris guanchica"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Dryopteris oreades"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Polystichum setiferum"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium adiantum-nigrum var. corunnense"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium adiantum-nigrum var. adiantum-nigrum"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium adiantum-nigrum"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium billotii"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium hemionitis"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium marinum"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium onopteris"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium petrarchae subsp. petrarchae"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium ruta-muraria subsp. ruta-muraria"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium septentrionale subsp. septentrionale"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Asplenium trichomanes subsp. quadrivalens"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Ceterach officinarum subsp. officinarum"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Phyllitis scolopendrium subsp. scolopendrium"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Achillea ageratum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Achillea millefolium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Achillea monticola"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Aetheorhiza bulbosa subsp. bulbosa"	"Flores com 5 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Anacyclus clavatus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Anacyclus radiatus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Andryala arenaria subsp. arenaria"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Andryala arenaria subsp. parvipila"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Andryala arenaria"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Andryala corymbosa"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Andryala integrifolia"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Andryala laxiflora"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Andryala ragusina"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Anthemis alpestris"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Anthemis arvensis subsp. arvensis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Anthemis arvensis subsp. incrassata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Anthemis arvensis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Anthemis canescens"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Anthemis cotula"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Anthemis maritima"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Ambas as simetrias"
"Arctium minus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa,Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Arnica montana subsp. atlantica"	"Flores com 5 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Arnoseris minima"	"Flores com 5 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Artemisia absinthium"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Artemisia arborescens"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Artemisia caerulescens subsp. caerulescens"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Artemisia campestris subsp. glutinosa"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Artemisia campestris subsp. maritima"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Artemisia campestris"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Artemisia vulgaris"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Aster aragonensis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Aster sedifolius subsp. sedifolius"	"Flores com 5 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Aster tripolium subsp. pannonicus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Asteriscus aquaticus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Asteriscus maritimus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Ambas as simetrias"
"Atractylis cancellata subsp. cancellata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Atractylis gummifera"	"Flores com 5 pétalas"	"Folhas todas basais"	"Flores roxas, violetas ou lilases,Flores rosa"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Avellara fistulosa"	"Flores com 5 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Bellis annua subsp. annua"	"Flores com 5 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Bellis microcephala"	"Flores com 5 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Ambas as simetrias"
"Bellis perennis"	"Flores com 5 pétalas"	"Folhas todas basais"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Bellis sylvestris"	"Flores com 5 pétalas"	"Folhas todas basais"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Bidens tripartita"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial,Ambas as simetrias"
"Bombycilaena erecta"	"Flores com 5 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Calendula arvensis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Calendula suffruticosa subsp. algarbiensis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Calendula suffruticosa subsp. lusitanica"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Ambas as simetrias"
"Calendula suffruticosa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Calendula suffruticosa subsp. tomentosa"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Ambas as simetrias"
"Carduncellus caeruleus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos,Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Carduus bourgeanus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa,Flores roxas, violetas ou lilases"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria bilateral,Simetria radial"
"Carduus carpetanus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria bilateral,Simetria radial"
"Carduus gayanus"	"Flores com 5 pétalas"		"NA"	"Folhas com margem ou ponta espinhosa"		"Fruto seco"	"Simetria bilateral,Simetria radial"
"Carduus lusitanicus subsp. broteroi"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria bilateral,Simetria radial"
"Carduus lusitanicus subsp. lusitanicus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases,Flores rosa"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria bilateral,Simetria radial"
"Carduus lusitanicus"	"Flores com 5 pétalas"		"NA"	"Folhas com margem ou ponta espinhosa"		"Fruto seco"	"Simetria bilateral,Simetria radial"
"Carduus meonanthus subsp. meonanthus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa,Flores roxas, violetas ou lilases"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria bilateral,Simetria radial"
"Carduus platypus subsp. platypus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria bilateral,Simetria radial"
"Carduus tenuiflorus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria bilateral,Simetria radial"
"Carlina hispanica"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Carlina racemosa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Carlina vulgaris"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Carthamus lanatus subsp. lanatus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Carthamus lanatus subsp. baeticus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Carthamus lanatus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Catananche caerulea"	"Flores com 5 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Catananche lutea subsp. carpholepis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Centaurea africana"	"Flores com 5 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores creme ou amarelo-limão,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea alba subsp. strepens"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea aristata"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea aspera subsp. aspera"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Sem espinhos,Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea aspera subsp. stenophylla"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Sem espinhos,Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea aspera"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Sem espinhos,Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea bethurica"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea calcitrapa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea collina subsp. collina"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea cordubensis"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea coutinhoi"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea crocata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea diluta"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea exarata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea herminii"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea langeana subsp. langeana"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea limbata subsp. lusitana"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea limbata subsp. limbata"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea limbata"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea luisieri"	"Flores com 5 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Sem caule,Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea melanosticta"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea melitensis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea micrantha"	"Flores com 5 pétalas"		"NA"			"Fruto seco"	"Simetria radial"
"Centaurea nigra subsp. rivularis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea occasus"	"Flores com 5 pétalas"		"Flores amarelas"	"Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea ornata subsp. ornata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea ornata subsp. interrupta"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Centaurea ornata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
